algo,n,rep,hauteur,largeur,prof_feuilles,taille_gauche,time_ms
Remy,500,25,58,34,27.0319,2,0.0701
ABR,500,25,19,126,11.5988,426,0.0651
Remy,500,26,36,66,22.2355,499,0.0999
ABR,500,26,17,150,11.3892,86,0.0401
Remy,500,27,44,48,22.7206,497,0.0741
ABR,500,27,17,142,11.4152,250,0.0379
Remy,500,28,45,40,23.9920,1,0.0789
ABR,500,28,19,152,10.5509,161,0.0370
Remy,500,29,42,54,20.6687,499,0.0679
ABR,500,29,18,134,11.1257,347,0.0370
Remy,500,30,36,56,22.1497,499,0.0949
ABR,500,30,18,122,11.2395,295,0.0381
Remy,500,31,42,48,22.7685,0,0.0741
ABR,500,31,22,138,11.9920,478,0.0381
Remy,500,32,45,44,25.2315,2,0.1640
ABR,500,32,19,140,11.2794,359,0.0389
Remy,500,33,70,44,29.9361,0,0.0701
ABR,500,33,19,110,11.3633,50,0.0379
Remy,500,34,36,62,20.0240,0,0.1998
ABR,500,34,23,104,12.4351,135,0.0410
Remy,500,35,51,56,20.0898,493,0.0739
ABR,500,35,20,122,11.7824,52,0.0381
Remy,500,36,46,46,22.5389,3,0.0799
ABR,500,36,22,132,11.4451,405,0.0379
Remy,500,37,50,52,25.9082,0,0.0689
ABR,500,37,19,122,11.3253,291,0.0372
Remy,500,38,35,56,18.0559,14,0.0839
ABR,500,38,21,110,12.0140,58,0.0379
Remy,500,39,42,56,22.6986,496,0.0691
ABR,500,39,21,118,11.5449,97,0.0381
Remy,500,40,39,54,20.9940,16,0.0799
ABR,500,40,20,126,11.4910,433,0.0389
Remy,500,41,53,54,22.7964,9,0.0739
ABR,500,41,20,110,12.0739,445,0.0370
Remy,500,42,44,46,26.0240,0,0.0789
ABR,500,42,20,140,10.9022,178,0.0379
Remy,500,43,37,60,20.3333,499,0.0682
ABR,500,43,20,114,11.9261,73,0.0379
Remy,500,44,43,54,22.2435,0,0.0842
ABR,500,44,21,100,12.2535,459,0.0379
Remy,500,45,52,46,24.2475,0,0.0689
ABR,500,45,19,118,11.3353,193,0.0379
Remy,500,46,43,72,24.3313,499,0.0980
ABR,500,46,19,130,11.5808,411,0.0410
Remy,500,47,54,32,28.9421,0,0.0839
ABR,500,47,18,158,10.8962,83,0.0379
Remy,500,48,44,68,23.3493,0,0.0799
ABR,500,48,17,138,10.6228,131,0.0370
Remy,500,49,42,48,25.5230,499,0.0689
ABR,500,49,19,140,11.5070,298,0.0370
Remy,500,50,44,50,22.8403,0,0.1011
ABR,500,50,18,132,11.3932,388,0.0372
Remy,1000,1,53,96,28.7562,0,0.1190
ABR,1000,1,22,244,13.2577,716,0.0582
Remy,1000,2,56,84,29.1628,5,0.1280
ABR,1000,2,22,264,12.7353,156,0.0529
Remy,1000,3,61,82,32.5445,0,0.1171
ABR,1000,3,22,246,12.6184,409,0.0541
Remy,1000,4,55,90,29.6164,998,0.1421
ABR,1000,4,25,196,13.8482,894,0.0529
Remy,1000,5,55,92,25.4096,0,0.1280
ABR,1000,5,25,236,12.9061,413,0.0570
Remy,1000,6,40,126,21.4396,2,0.1309
ABR,1000,6,18,288,11.9461,521,0.0539
